title_i,bpi,name,composite
0,0.332274167,Allen Elementary,2
1,0.248226588,Alpine Crest Elementary,1
0,0.296253539,Apison Elementary,5
1,0.278098385,Barger Academy,3
1,0.2306957,Battle Academy,3
0,0.257126287,Big Ridge Elementary,2
1,0.246839357,Brainerd High,1
1,0.113131435,Brown Academy,3
1,0.291020674,Brown Middle,1
1,0.319293752,Central High,1
0,0.348599725,CSAS Upper,5
0,0.311343874,CSAS Lower,1
0,0.313635537,CSLA,4
0,0.313077041,Collegiate High,3
1,0.180327751,Clifton Hills Elementary,1
1,0.263549749,Daisy Elementary,5
1,0.223009381,Dalewood Middle,1
1,0.253618796,Calvin Donaldson,5
1,0.240990198,Dupont Elementary,2
0,0.286091,East Hamilton,1
1,0.305328236,East Brainerd Elementary,2
1,0.178837732,East Lake Elementary,5
1,0.238620532,East Lake Academy,5
1,0.222561852,East Ridge Elementary,1
1,0.296254558,East Ridge High,1
1,0.30487011,East Ridge Middle,5
1,0.15018219,East Side Elementary,5
1,0.329607704,Falling Water Elementary,3
0,0.253879393,Ganns Middle Valley Elementary,5
0,0.345301934,Hamilton County High,3
1,0.220546544,Hardy Elementary,5
1,0.266955049,Harrison Elementary,5
1,0.21864997,Hillcrest Elementary,1
1,0.236450376,Hixson Elementary,5
1,0.308367416,Hixson High,1
1,0.294017084,Hixson Middle,3
1,0.261326438,Howard,1
0,0.327807388,Hunter Middle,1
1,0.189227534,Lakeside Academy,1
0,0.298119379,Loftis Middle,4
0,0.327021424,Lookout Mountain Elementary,1
1,0.286983786,Lookout Valley Elementary,3
1,0.36232115,Lookout Valley Middle/High,1
0,0.277291521,McConnell Elementary,5
0,0.309833784,Nolan Elementary,2
0,0.20134,Normal Park,1
1,0.254625348,North Hamilton Elementary,5
0,0.282487721,Ooltewah Elementary,5
0,0.32407891,Ooltewah High,1
1,0.236035481,Ooltewah Middle,1
1,0.17141884,Orchard Knob Elementary,1
1,0.173692222,Orchard Knob Middle,1
1,0.250248337,Red Bank Elementary,5
1,0.265397565,Red Bank High,1
1,0.248498301,Red Bank Middle,1
1,0.200820115,Rivermont Elementary,5
0,0.304020849,Sale Creek Middle/High,1
1,0.368565364,Sequoyah High,1
1,0.253829783,Bess T. Shepherd Elementary,1
0,0.287671826,Signal Mountain Middle/High,1
0,0.346690311,Wallace A. Smith Elementary,3
1,0.308329025,Snow Hill Elementary,1
0,0.322470318,Soddy Daisy High,1
1,0.281885852,Soddy Daisy Middle,1
1,0.193356967,Soddy Elementary,2
1,0.244494016,Spring Creek Elementary,2
0,0.30136166,STEM School,3
0,0.274401707,Thrasher Elementary,5
1,0.314466902,Tyner Academy,1
1,0.225487686,Tyner Middle Academy,3
0,0.311811264,Westview Elementary,4
1,0.292310355,Wolftever Creek Elementary,1
1,0.220772418,Woodmore Elementary,3
