title,bpi,school,adm,minority,econ_disadvantaged,composite,literacy,numeracy,literacy_numeracy,science,salary
0,0.332274167,Allen Elementary,596,0.0541,0.477,2,1,3,2,2,68282.24667
1,0.248226588,Alpine Crest Elementary,299,0.3123,0.714,1,1,1,1,1,64484.72424
0,0.296253539,Apison Elementary School,628,0.2655,0.394,5,5,5,5,5,63772.46318
1,0.278098385,Barger Academy,402,0.9107,0.923,3,3,3,3,1,64715.6
1,0.2306957,Battle Academy For Teaching  Learning,374,0.6683,0.696,3,2,4,3,3,65545.82575
0,0.257126287,Big Ridge Elementary,477,0.1361,0.313,2,1,1,1,5,62930.40419
1,0.246839357,Brainerd High School,554,0.9575,0.925,1,2,3,2,1,63995.22866
1,0.113131435,Tommie F. Brown International Academy,314,0.9106,0.897,3,3,5,4,3,57099.50386
1,0.291020674,Brown Middle School,472,0.6231,0.799,1,1,1,1,1,64396.90077
1,0.319293752,Central High School,884,0.4496,0.548,1,2,1,1,1,67799.37764
0,0.348599725,Chattanooga School For Arts And Sciences CSAS Upper,638,0.5512,0.335,5,5,2,5,4,70702.74152
0,0.311343874,Chattanooga School For The Arts And Science CSAS Lower,360,0.3709,0.250,1,1,4,3,1,75247.55027
0,0.313635537,Chattanooga School For The Liberal Arts,410,0.3325,0.248,4,4,5,5,2,67411.22701
0,0.313077041,Hamilton County Collegiate High at Chattanooga State,140,0.0738,0.087,3,3,3,3,,75392.825
1,0.180327751,Clifton Hills Elementary,530,0.9309,0.998,1,1,1,1,1,60897.60769
1,0.263549749,Daisy Elementary,496,0.0398,0.702,5,5,5,5,5,63272.49642
1,0.223009381,Dalewood Middle School,296,0.9383,0.000,1,5,1,1,5,59973.38235
1,0.253618796,Calvin Donaldson Environmental Science Academy,312,0.9396,0.000,5,3,4,4,5,59880.57676
1,0.240990198,Dupont Elementary,358,0.5346,0.877,2,3,1,2,1,61935.82966
0,0.286091,East Hamilton School,1707,0.2555,0.316,1,1,1,1,1,68106.45065
1,0.305328236,East Brainerd Elementary,663,0.5534,0.696,2,4,3,3,1,64002.58978
1,0.178837732,East Lake Elementary,506,0.9067,0.000,5,5,4,5,5,57282.18972
