year,Property tax,Sales tax,Hamilton County,Tennessee,U.S.,adm
1998,60250143,39722306,106288277,86723010,11419986,43025
1999,62004677,41670500,111118085,89518029,17489892,41486
2000,80577990,43978772,131992027,88611925,19028308,41453
2001,84610771,44342013,136713403,86010534,22227108,40966
2002,87320961,44425220,143762919,86307910,26201843,40641
2003,92875217,44393005,146284391,88488435,25340757,40634
2004,92637725,46037725,148440567,91904011,30428771,40191
2005,98459829,51047620,160244411,95569648,31735122,39929
2006,107934700,54291517,173628762,96272215,31519914,40066
2007,111538683,56991614,180264693,103005382,32281939,40007
2008,113585413,57840719,182999633,115621066,31083711,39852
2009,118352443,55505018,185407188,117970090,31310661,39892
2010,120778435,54953340,187621929,121803026,35268480,40677
2011,121489230,58023163,191220552,126686361,46092322,41615
2012,127411070,61786864,200091859,129397258,41268213,41836
2013,130254574,61771083,201522375,135390471,35281212,42427
2014,130857425,62092778,201397843,138490232,37708208,42379
