city,state,natural_hs,natural_college,foreign_hs,foreign_college
Birmingham,Alabama,0.84,0.22,0.76,0.49
Hoover,Alabama,0.97,0.57,0.73,0.59
Huntsville,Alabama,0.91,0.39,0.73,0.51
Mobile,Alabama,0.87,0.26,0.85,0.47
Montgomery,Alabama,0.86,0.31,0.73,0.52
Tuscaloosa,Alabama,0.88,0.33,0.82,0.52
Anchorage,Alaska,0.95,0.34,0.77,0.33
Avondale,Arizona,0.85,0.21,0.57,0.19
Chandler,Arizona,0.95,0.39,0.77,0.55
Gilbert,Arizona,0.97,0.4,0.86,0.48
Glendale,Arizona,0.9,0.23,0.6,0.26
Goodyear,Arizona,0.94,0.28,0.78,0.28
Mesa,Arizona,0.93,0.26,0.6,0.25
Peoria,Arizona,0.94,0.28,0.74,0.33
San Tan Valley,Arizona,0.93,0.21,0.73,0.35
Scottsdale,Arizona,0.98,0.54,0.86,0.56
Surprise,Arizona,0.95,0.3,0.75,0.24
Tempe,Arizona,0.94,0.42,0.71,0.53
Yuma,Arizona,0.88,0.17,0.56,0.22
Fayetteville,Arkansas,0.94,0.46,0.73,0.6
Fort Smith,Arkansas,0.87,0.23,0.46,0.23
Little Rock,Arkansas,0.91,0.38,0.8,0.5
Springdale,Arkansas,0.87,0.25,0.37,0.15
Alameda,California,0.96,0.54,0.81,0.5
Alhambra,California,0.92,0.36,0.74,0.41
Anaheim,California,0.92,0.29,0.61,0.34
Antioch,California,0.92,0.18,0.75,0.34
Arden-Arcade,California,0.93,0.37,0.75,0.38
Bakersfield,California,0.89,0.22,0.56,0.32
Baldwin Park,California,0.79,0.11,0.51,0.22
Bellflower,California,0.87,0.15,0.65,0.25
Berkeley,California,0.97,0.72,0.89,0.73
Buena Park,California,0.89,0.21,0.78,0.47
Burbank,California,0.95,0.42,0.78,0.43
Carlsbad,California,0.98,0.55,0.87,0.59
Carson,California,0.89,0.23,0.71,0.36
Chico,California,0.94,0.36,0.68,0.36
Chino,California,0.85,0.19,0.65,0.42
Chino Hills,California,0.96,0.38,0.88,0.58
Chula Vista,California,0.92,0.3,0.69,0.35
Citrus Heights,California,0.93,0.19,0.72,0.23
Clovis,California,0.92,0.29,0.75,0.42
Compton,California,0.81,0.1,0.37,0.07
Concord,California,0.95,0.32,0.71,0.4
Corona,California,0.93,0.26,0.71,0.38
Costa Mesa,California,0.96,0.42,0.63,0.38
Daly City,California,0.94,0.33,0.81,0.41
Downey,California,0.91,0.25,0.64,0.28
East Los Angeles,California,0.75,0.1,0.3,0.11
El Cajon,California,0.9,0.21,0.6,0.22
Elk Grove,California,0.95,0.34,0.81,0.45
El Monte,California,0.81,0.14,0.47,0.22
Escondido,California,0.91,0.28,0.42,0.27
Fairfield,California,0.92,0.24,0.7,0.32
Folsom,California,0.92,0.41,0.91,0.69
Fontana,California,0.87,0.18,0.56,0.25
Fremont,California,0.94,0.37,0.9,0.69
Fullerton,California,0.94,0.37,0.76,0.49
Garden Grove,California,0.91,0.22,0.63,0.27
Glendale,California,0.95,0.48,0.79,0.42
Hawthorne,California,0.91,0.22,0.58,0.28
Hayward,California,0.9,0.25,0.7,0.34
Hemet,California,0.87,0.13,0.53,0.18
Hesperia,California,0.84,0.1,0.52,0.16
Huntington Beach,California,0.96,0.42,0.79,0.48
Indio,California,0.87,0.2,0.5,0.21
Inglewood,California,0.9,0.24,0.45,0.19
Irvine,California,0.99,0.63,0.93,0.73
Jurupa Valley,California,0.84,0.12,0.44,0.16
Lake Forest,California,0.97,0.45,0.8,0.52
Lakewood,California,0.92,0.26,0.75,0.41
Lancaster,California,0.85,0.15,0.61,0.26
Livermore,California,0.96,0.4,0.75,0.48
Long Beach,California,0.92,0.35,0.58,0.32
Menifee,California,0.91,0.17,0.62,0.26
Merced,California,0.89,0.19,0.43,0.26
Mission Viejo,California,0.97,0.46,0.86,0.51
Modesto,California,0.88,0.19,0.6,0.26
Moreno Valley,California,0.88,0.16,0.54,0.24
Mountain View,California,0.97,0.64,0.88,0.74
Murrieta,California,0.95,0.27,0.82,0.42
Napa,California,0.94,0.35,0.46,0.26
Newport Beach,California,0.98,0.65,0.95,0.65
Norwalk,California,0.85,0.14,0.62,0.26
Oakland,California,0.93,0.47,0.57,0.4
Oceanside,California,0.95,0.29,0.58,0.3
Ontario,California,0.86,0.15,0.49,0.22
Orange,California,0.94,0.37,0.64,0.45
Oxnard,California,0.88,0.23,0.44,0.22
Palmdale,California,0.86,0.18,0.57,0.2
Pasadena,California,0.95,0.56,0.72,0.52
Pleasanton,California,0.97,0.53,0.9,0.75
Pomona,California,0.84,0.2,0.52,0.26
Rancho Cucamonga,California,0.94,0.29,0.84,0.45
Redding,California,0.91,0.23,0.77,0.34
Redwood City,California,0.95,0.49,0.71,0.43
Rialto,California,0.82,0.12,0.49,0.16
Richmond,California,0.89,0.3,0.6,0.33
Riverside,California,0.9,0.25,0.55,0.29
Roseville,California,0.96,0.36,0.87,0.43
Sacramento,California,0.91,0.33,0.64,0.31
Salinas,California,0.86,0.19,0.41,0.19
San Bernardino,California,0.8,0.13,0.46,0.19
San Buenaventura (Ventura),California,0.94,0.35,0.7,0.37
San Leandro,California,0.92,0.31,0.71,0.33
San Marcos,California,0.95,0.33,0.53,0.42
San Mateo,California,0.97,0.52,0.78,0.47
San Ramon,California,0.99,0.58,0.96,0.77
Santa Ana,California,0.85,0.23,0.41,0.17
Santa Barbara,California,0.95,0.53,0.58,0.34
Santa Clara,California,0.95,0.44,0.89,0.7
Santa Clarita,California,0.95,0.32,0.74,0.41
Santa Maria,California,0.85,0.19,0.3,0.21
Santa Monica,California,0.98,0.69,0.87,0.62
Santa Rosa,California,0.93,0.34,0.6,0.3
Simi Valley,California,0.95,0.31,0.79,0.46
South Gate,California,0.82,0.13,0.38,0.11
Stockton,California,0.86,0.19,0.57,0.25
Sunnyvale,California,0.95,0.51,0.89,0.74
Temecula,California,0.96,0.31,0.79,0.37
Thousand Oaks,California,0.97,0.49,0.79,0.6
