state,total,adm,rank
Vermont,1761666000,23149,1
New York,54245230000,21366,2
New Jersey,28189927000,20925,3
Alaska,2554824000,20117,4
Rhode Island,2508710000,19676,5
Connecticut,9565508000,17759,6
New Hampshire,3148807000,17115,7
Massachusetts,15905000000,16678,8
Wyoming,1509977000,16127,9
Delaware,2126094000,15858,10
Pennsylvania,26854779000,15691,11
Michigan,22295493000,15175,12
District of Columbia,1135455000,14779,13
Maryland,12382059000,14249,14
Illinois,28676105000,13870,15
West Virginia,3618979000,12859,16
Minnesota,10306180000,12180,17
Hawaii,2141422000,12014,18
Ohio,21248521000,11530,19
Wisconsin,9982094000,11424,20
California,69435699000,11145,21
Oregon,6313035000,11127,22
Virginia,14048759000,10980,23
Colorado,9667022000,10899,24
Montana,1554877000,10859,25
Missouri,9778796000,10755,26
New Mexico,3549312000,10633,27
Iowa,5378485000,10613,28
Louisiana,7572417000,10511,29
Washington,10700323000,10055,30
Nebraska,3126644000,10012,31
South Carolina,7187061000,10005,32
Kansas,4815465000,9822,33
Kentucky,6601445000,9635,34
Arkansas,4554556000,9573,35
Georgia,16205521000,9291,36
Florida,25100397000,9223,37
Tennessee,8746766000,9105,38
South Dakota,1166766000,8989,39
Texas,46727177000,8962,40
Maine,1629325000,8957,41
Nevada,4446581000,8956,42
Idaho,2706590000,8928,43
Alabama,6456562000,8797,44
Mississippi,4321880000,8779,45
North Carolina,12440496000,8620,46
North Dakota,863819000,8518,47
Indiana,8264381000,8034,48
Oklahoma,5482079000,7977,49
Utah,4797343000,7711,50
Arizona,7969356000,7461,51
